"We now have 4-month-old mice that are non-diabetic that used to be diabetic," he added.	«Actualmente, tenemos ratones de cuatro meses de edad que antes solían ser diabéticos y que ya no lo son», agregó.	"Ahora tenemos ratones de 4 meses que no son diabéticos que solían ser diabéticos", agregó.	"Currently, we have four-month-old mice who used to be diabetic and who are no longer diabetic," he added.
Dr. Ehud Ur, professor of medicine at Dalhousie University in Halifax, Nova Scotia and chair of the clinical and scientific division of the Canadian Diabetes Association cautioned that the research is still in its early days.	La investigación todavía se ubica en su etapa inicial, conforme indicara el Dr. Ehud Ur, docente en la carrera de medicina de la Universidad de Dalhousie, en Halifax, Nueva Escocia, y director del departamento clínico y científico de la Asociación Canadiense de Diabetes.	El Dr. Ehud Ur, profesor de medicina en la Universidad Dalhousie en Halifax, Nueva Escocia y presidente de la división clínica y científica de la Asociación Canadiense de Diabetes advirtió que la investigación todavía está en sus primeros días.	The research is still in its early stages, as indicated by Dr. Ehud Ur, a medical professor at Dalhousie University in Halifax, Nova Scotia, and director of the clinical and scientific department of the Canadian Diabetes Association.
Like some other experts, he is skeptical about whether diabetes can be cured, noting that these findings have no relevance to people who already have Type 1 diabetes.	Al igual que otros especialistas, es escéptico acerca de si la diabetes tiene cura y remarca que estos descubrimientos no son relevantes para quienes que ya padecen de diabetes de tipo 1.	Al igual que otros expertos, es escéptico acerca de si la diabetes puede curarse, señalando que estos hallazgos no tienen relevancia para las personas que ya tienen diabetes tipo 1.	Like other specialists, she is skeptical about whether diabetes has a cure and points out that these findings are not relevant to those who already have type 1 diabetes.
On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly announced during a radio program on Sveriges Radio in Sweden the committee, unable to reach Bob Dylan directly about winning the 2016 Nobel Prize in Literature, had abandoned its efforts to reach him.	El lunes, Sara Danius, secretaria permanente del Comité por el Nobel de Literatura de la Academia Sueca, declaró públicamente en un programa radiofónico de Sveriges, en Suecia, que, al no poder contactar directamente con Bob Dylan para comunicarle el premio en Literatura 2016, el comité había abandonado sus esfuerzos por comunicarse con él.	El lunes, Sara Danius, secretaria permanente del Comité Nobel de Literatura en la Academia Sueca, anunció públicamente durante un programa de radio en Sveriges Radio en Suecia, el comité, incapaz de llegar a Bob Dylan directamente sobre ganar el Premio Nobel de Literatura 2016, había abandonado sus esfuerzos para llegar a él.	On Monday, Sara Danius, permanent secretary of the Nobel Committee for Literature at the Swedish Academy, publicly stated in a Sveriges radio program in Sweden that, by not being able to contact Bob Dylan directly to communicate the 2016 Literature award, the committee had given up its efforts to communicate with him.
Danius said, "Right now we are doing nothing. I have called and sent emails to his closest collaborator and received very friendly replies. For now, that is certainly enough."	Danius declaró: «Actualmente no estamos haciendo nada. Llamé y envié correos electrónicos a su asistente más cercano y recibí contestaciones muy cordiales. Por el momento, eso es sin dudas suficiente».	Danio dijo, "Ahora mismo no estamos haciendo nada. He llamado y enviado correos electrónicos a su colaborador más cercano y recibido respuestas muy amistosas. Por ahora, eso es sin duda suficiente."	Danius stated: “We are currently doing nothing. I called and sent emails to his closest assistant and received very cordial answers. For the moment, that is certainly enough.”
Previously, Ring's CEO, Jamie Siminoff, remarked the company started when his doorbell wasn't audible from his shop in his garage.	Con anterioridad, el director ejecutivo de Ring, Jamie Siminoff, mencionó que la compañía había iniciado a raíz de que el timbre de su entrada no podía oírse desde la tienda que tenía montada en su garaje.	Anteriormente, el CEO de Ring, Jamie Siminoff, comentó que la compañía comenzó cuando su timbre no era audible desde su tienda en su garaje.	Previously, Ring's executive director, Jamie Siminoff, mentioned that the company had started as a result of the doorbell of his entrance not being heard from the store he had mounted in his garage.
He built a WiFi door bell, he said.	Él dijo que construyó un timbre wifi.	Él construyó una campana de la puerta WiFi, dijo.	He said he built a Wi-Fi bell.
Siminoff said sales boosted after his 2013 appearance in a Shark Tank episode where the show panel declined funding the startup.	Siminoff declaró que las ventas se dispararon luego de su aparición en un episodio de Shark Tank en el año 2013, en el que el panel del programa televisivo se negó a financiar la puesta en marcha de la compañía.	Siminoff dijo que las ventas aumentaron después de su aparición en 2013 en un episodio de Shark Tank, donde el panel del show declinó financiar la startup.	Siminoff stated that the sales were fired after his appearance in an episode of Shark Tank in 2013, in which the TV show panel refused to fund the company's start-up.
In late 2017, Siminoff appeared on shopping television channel QVC.	Hacia fines del año 2017, Siminoff hizo una aparición en el canal de compras televisadas QVC.	A finales de 2017, Siminoff apareció en el canal de televisión QVC.	Towards the end of 2017, Siminoff made an appearance on the TV shopping channel QVC.
Ring also settled a lawsuit with competing security company, the ADT Corporation.	Ring también llegó a un acuerdo en el litigio con la compañía de seguridad de la competencia, ADT Corporation.	Ring también resolvió una demanda con la compañía de seguridad competidora, la Corporación ADT.	Ring also reached an agreement in the dispute with the competition security company, ADT Corporation.
While one experimental vaccine appears able to reduce Ebola mortality, up until now, no drugs have been clearly demonstrated suitable for treating existing infection.	Al día de hoy no se ha demostrado a ciencia cierta que algún fármaco sea adecuado para tratar la infección existente causada por ébola, aun cuando existe una vacuna experimental que pareciera ser capaz de disminuir la mortalidad causada por esa enfermedad.	Aunque una vacuna experimental parece capaz de reducir la mortalidad por ébola, hasta ahora no se ha demostrado claramente que ningún medicamento sea adecuado para tratar la infección existente.	To date, it has not been demonstrated for certain that any drug is adequate to treat the existing Ebola infection, even though there is an experimental vaccine that appears to be able to reduce the mortality caused by that disease.
